Race_ID,Driver,LapNumber,Finishing_Tier,GridPosition,Tire_Age,Fuel_Mass_Proxy,Degradation_x_Fuel,Tire_MEDIUM,Tire_SOFT
2023_Bahrain,PER,20.0,Podium,2.0,5.0,71.40350877192982,-153.17969054580905,0,1
2023_Bahrain,PER,21.0,Podium,2.0,6.0,69.47368421052632,-120.52019736842115,0,1
2023_Bahrain,PER,22.0,Podium,2.0,7.0,67.54385964912281,-91.72035331384025,0,1
2023_Bahrain,PER,23.0,Podium,2.0,8.0,65.6140350877193,-66.78015838206638,0,1
2023_Bahrain,PER,24.0,Podium,2.0,9.0,63.68421052631579,-45.69961257309947,0,1
2023_Bahrain,PER,25.0,Podium,2.0,10.0,61.75438596491228,-28.47871588693963,0,1
2023_Bahrain,PER,26.0,Podium,2.0,11.0,59.824561403508774,-15.117468323586797,0,1
2023_Bahrain,PER,27.0,Podium,2.0,12.0,57.89473684210526,-5.61586988304096,0,1
2023_Bahrain,PER,28.0,Podium,2.0,13.0,55.96491228070175,0.02607943469783564,0,1
2023_Bahrain,PER,29.0,Podium,2.0,14.0,54.03508771929825,1.8083796296296177,0,1
2023_Bahrain,PER,30.0,Podium,2.0,15.0,52.10526315789474,-0.2689692982456138,0,1
2023_Bahrain,PER,31.0,Podium,2.0,16.0,50.175438596491226,-6.205967348927866,0,1
2023_Bahrain,PER,32.0,Podium,2.0,17.0,48.24561403508772,-16.002614522417133,0,1
2023_Bahrain,PER,33.0,Podium,2.0,18.0,46.31578947368421,-29.658910818713412,0,1
2023_Bahrain,PER,34.0,Podium,2.0,19.0,44.3859649122807,-47.17485623781673,0,1
2023_Bahrain,PER,35.0,Podium,2.0,1.0,42.45614035087719,188.3728825536061,0,0
2023_Bahrain,PER,36.0,Podium,2.0,2.0,40.526315789473685,199.8043055555554,0,0
2023_Bahrain,PER,37.0,Podium,2.0,3.0,38.59649122807018,207.3760794346977,0,0
2023_Bahrain,PER,38.0,Podium,2.0,4.0,36.66666666666667,211.08820419103296,0,0
2023_Bahrain,PER,39.0,Podium,2.0,5.0,34.736842105263165,210.94067982456122,0,0
2023_Bahrain,PER,40.0,Podium,2.0,6.0,32.807017543859644,206.9335063352826,0,0
2023_Bahrain,PER,41.0,Podium,2.0,7.0,30.877192982456137,199.0666837231968,0,0
2023_Bahrain,PER,42.0,Podium,2.0,8.0,28.94736842105263,187.34021198830402,0,0
